date,close
16:32:30,18.13
16:33:00,17.79
16:33:30,17.49
16:34:00,17.50
16:34:30,17.34
16:35:00,17.22
16:35:30,17.09
16:36:00,17.26
16:36:30,17.17
16:37:00,17.20
16:37:30,17.25
16:38:00,17.10
16:38:30,17.31
16:39:00,21.73
16:39:30,16.77
16:40:00,17.37
16:40:30,17.46
16:41:00,17.45
16:41:30,17.10
16:42:00,16.22
16:42:30,16.15
16:43:00,17.53
16:43:30,17.80
16:44:00,17.20
16:44:30,16.73
16:45:00,16.68
16:45:30,16.46
16:46:00,16.97
16:46:30,16.68
16:47:00,16.62
16:47:30,16.07
16:48:00,15.69
16:48:30,15.88
16:49:00,16.22
16:49:30,15.81
16:50:00,15.80
16:50:30,15.45
16:51:00,15.45
16:51:30,15.87
16:52:00,15.14
16:52:30,15.72
16:53:00,15.49
16:53:30,15.42
16:54:00,15.90
16:54:30,15.70
16:55:00,15.46
16:55:30,15.46
16:56:00,15.73
16:56:30,16.13
16:57:00,16.27
16:57:30,16.65
16:58:00,16.16
16:58:30,15.96
16:59:00,15.63
16:59:30,16.10
17:00:00,15.61
17:00:30,15.57
17:01:00,15.39
17:01:30,15.43
17:02:00,15.57
17:02:30,15.79
17:03:00,15.99
17:03:30,15.25
17:04:00,15.63
17:04:30,15.39
17:05:00,15.51
17:05:30,15.64
17:06:00,15.84
17:06:30,15.85
17:07:00,14.95
17:07:30,15.36
17:08:00,14.54
17:08:30,15.57
17:09:00,14.45
17:09:30,14.44
17:10:00,15.41
17:10:30,14.66
17:11:00,14.17
17:11:30,14.10
17:12:00,14.69
17:12:30,14.47
17:13:00,14.24
17:13:30,14.20
17:14:00,14.01
17:14:30,14.21
17:15:00,13.58
17:15:30,13.59
17:16:00,13.58
17:16:30,13.74
17:17:00,13.91
17:17:30,13.33
17:18:00,13.08
17:18:30,13.64
17:19:00,13.30
17:19:30,13.26
17:20:00,12.86
17:20:30,12.47
17:21:00,12.87
17:21:30,13.23
17:22:00,12.69
17:22:30,12.78
17:23:00,12.41
17:23:30,12.61
17:24:00,12.43
17:24:30,12.71
17:25:00,12.50
17:25:30,12.46
17:26:00,12.50
17:26:30,12.13
17:27:00,12.14
17:27:30,11.81
17:28:00,12.38
17:28:30,12.62
17:29:00,12.54
17:29:30,12.47
17:30:00,12.12
17:30:30,12.07
17:31:00,12.84
17:31:30,12.59
17:32:00,12.08
17:32:30,11.71
17:33:00,11.56
17:33:30,11.68
17:34:00,11.54
17:34:30,11.35
17:35:00,11.72
17:35:30,11.31
17:36:00,11.77
17:36:30,11.34
17:37:00,11.41
17:37:30,10.47
17:38:00,10.41
17:38:30,10.27
17:39:00,10.68
17:39:30,10.45
17:40:00,10.12
17:40:30,10.36
17:41:00,10.23
17:41:30,10.37
17:42:00,10.30
17:42:30,10.63
17:43:00,10.76
17:43:30,10.19
17:44:00,9.87
17:44:30,9.89
17:45:00,9.33
17:45:30,10.42
17:46:00,10.10
17:46:30,9.89
17:47:00,10.08
17:47:30,9.75
17:48:00,9.58
17:48:30,10.21
17:49:00,9.10
17:49:30,8.84
